geneID,GSM1563547_phoB_1.rpg.txt,GSM1563548_phoB_2.rpg.txt,GSM1563549_PA14_54510_1.rpg.txt,GSM1563550_PA14_54510_2.rpg.txt,GSM1563551_PA14_WT_1.rpg.txt,GSM1563552_PA14_WT_2.rpg.txt
PA14_07550,48,52,32,57,58,55
"PA14_07560,rpsU",248,221,176,238,225,359
"PA14_07570,gcp",61,79,55,67,63,71
PA14_07580,58,98,31,51,32,36
"PA14_07590,folB",21,38,20,32,31,26
"PA14_07600,folk",41,44,36,44,39,49
"PA14_07620,cca",39,51,20,43,44,34
PA14_07630,9,22,10,9,5,11
"PA14_07650,ycgB",964,1231,940,1143,633,905
PA14_07660,973,1184,940,1067,813,912
"PA14_07680,prkA",5332,6512,5320,6206,3418,5411
"PA14_07690,glpE",16,28,23,25,8,22
"PA14_07700,apaH",104,105,65,116,99,101
"PA14_07710,apaG",67,104,51,59,62,68
